variable	P_value	coefficient	abscoef	metabolite	site	taxname	phylum	family	Size
Otu0014	0.0000425182831364738	0.00000483301625537062	0.00000483301625537062	mesalamine	Stomach	Otu0014_Streptococcus	Firmicutes	Streptococcaceae	262420
Otu0023	0.0000757418446579682	0.084333616008804	0.084333616008804	pH	Stomach	Otu0023_Atopobium	Actinobacteria	Coriobacteriaceae	144677
Otu0058	0.0000539013570715422	0.0401179182212588	0.0401179182212588	pH	Stomach	Otu0058_Rothia	Actinobacteria	Micrococcaceae	37582
Otu0059	0.000627902552873311	0.00000058874076616836	0.00000058874076616836	mesalamine	Stomach	Otu0059_Mogibacterium	Firmicutes	Clostridiales_Incertae_Sedis_XIII	37091
Otu0071	0.0000542186933218666	0.039944901177766	0.039944901177766	pH	Stomach	Otu0071_Actinomyces	Actinobacteria	Actinomycetaceae	27829
Otu0072	0.000119227788032564	0.0164647848045644	0.0164647848045644	pH	Stomach	Otu0072_Firmicutes_unclassified	Firmicutes	Bacteria	27567
Otu0088	0.00000320692008953921	0.012935267275522	0.012935267275522	pH	Stomach	Otu0088_Catonella	Firmicutes	Lachnospiraceae	20862
Otu0112	0.000941663188811475	0.000000706687130465956	0.000000706687130465956	mesalamine	Stomach	Otu0112_Abiotrophia	Firmicutes	Aerococcaceae	12878
Otu0134	0.000706271562912531	0.000000192243169509165	0.000000192243169509165	mesalamine	Stomach	Otu0134_Filifactor	Firmicutes	Peptostreptococcaceae	8928
Otu0283	0.000080016297067834	0.00347938270473816	0.00347938270473816	pH	Stomach	Otu0283_Veillonella	Firmicutes	Veillonellaceae	1781
Otu0283	0.000080016297067834	0.00347938270473816	0.00347938270473816	mesalamine	Stomach	Otu0283_Veillonella	Firmicutes	Veillonellaceae	1781
Otu0321	0.000308121325105242	-0.00381112245980446	0.00381112245980446	pH	Stomach	Otu0321_Streptococcus	Firmicutes	Streptococcaceae	1284
Otu0321	0.000308121325105242	-0.00381112245980446	0.00381112245980446	mesalamine	Stomach	Otu0321_Streptococcus	Firmicutes	Streptococcaceae	1284
Otu0421	0.000280267546477599	-0.00618061328288938	0.00618061328288938	pH	Stomach	Otu0421_Prevotella	Bacteroidetes	Prevotellaceae	707
Otu0421	0.000280267546477599	-0.00618061328288938	0.00618061328288938	mesalamine	Stomach	Otu0421_Prevotella	Bacteroidetes	Prevotellaceae	707
Otu0682	0.000153639242976605	-0.00333371393628506	0.00333371393628506	pH	Stomach	Otu0682_Clostridia_unclassified	Firmicutes	Bacteria	183
Otu0682	0.000153639242976605	-0.00333371393628506	0.00333371393628506	mesalamine	Stomach	Otu0682_Clostridia_unclassified	Firmicutes	Bacteria	183
