phylum	taxon	total	color	M046_IIA_0h_2A	M046_IIA_1h_1A	M046_IIA_1h_2A	M046_IIA_2h_1A	M046_IIA_2h_2A	M046_IIA_3h_1A	M046_IIA_3h_2A	M046_IIA_48h_S	M046_IIA_4h_1A	M046_IIA_4h_2A	M046_IIA_4h_3A	M046_IIA_5h_1A	M046_IIA_5h_2A	M046_IIA_6h_1A	M046_IIA_6h_2A	M046_IIA_7h_1A	M046_IIA_7h_2A	M046_IIB_GI_0h_1A	M046_IIB_GI_0h_3A	M046_IIB_GI_1h_1A	M046_IIB_GI_1h_2A	M046_IIB_GI_1h_3A	M046_IIB_GI_2h_1A	M046_IIB_GI_2h_2A	M046_IIB_GI_2h_3A	M046_IIB_GI_3h_2A	M046_IIB_GI_3h_3A	M046_IIB_GI_4h_1A	M046_IIB_GI_4h_2A	M046_IIB_GI_4h_3A	M046_IIB_GI_5h_2A	M046_IIB_GI_5h_3A	M046_IIB_GI_6h_1A	M046_IIB_GI_6h_3A	M046_IIB_GI_7h_1A	M046_IIB_GI_7h_3A	M046_IIC_0h_1A	M046_IIC_0h_3A	M046_IIC_1h_3A	M046_IIC_2h_1A	M046_IIC_2h_2A	M046_IIC_2h_3A	M046_IIC_3h_1A	M046_IIC_3h_2A	M046_IIC_3h_3A	M046_IIC_48h_S	M046_IIC_4h_1A	M046_IIC_4h_2A	M046_IIC_4h_3A	M046_IIC_5h_1A	M046_IIC_5h_2A	M046_IIC_5h_3A	M046_IIC_6h_1A	M046_IIC_6h_2A	M046_IIC_6h_3A	M046_IIC_7h_1A	M046_IIC_7h_2A	M046_IIC_7h_3A	M047_IIA_GI_0h_2A	M047_IIA_GI_1h_2A	M047_IIA_GI_2h_1A	M047_IIA_GI_2h_2A	M047_IIA_GI_3h_1A	M047_IIA_GI_3h_2A	M047_IIA_GI_4h_1A	M047_IIA_GI_4h_2A	M047_IIA_GI_5h_1A	M047_IIA_GI_5h_2A	M047_IIA_GI_6h_1A	M047_IIA_GI_6h_2A	M047_IIA_GI_7h_1A	M047_IIA_GI_7h_2A	M048_IIB_GI_0h_1A	M048_IIB_GI_1h_1A	M048_IIB_GI_1h_2A	M048_IIB_GI_2h_1A	M048_IIB_GI_2h_2A	M048_IIB_GI_3h_2A	M048_IIB_GI_4h_1A	M048_IIB_GI_4h_2A	M048_IIB_GI_5h_1A	M048_IIB_GI_6h_1A	M048_IIB_GI_6h_2A	M048_IIB_GI_7h_1A	M053_IIB_1h_2A	M053_IIB_2h_2A	M053_IIB_3h_2A	M053_IIB_4h_2A	M053_IIB_4h_3A	M053_IIB_5h_1A	M053_IIB_5h_2A	M053_IIB_6h_1A	M053_IIB_6h_2A	M053_IIB_7h_1A	M053_IIB_7h_2A	M061_IIA_0h_1A	M061_IIA_0h_2A	M061_IIA_1h_1A	M061_IIA_1h_2A	M061_IIA_2h_1A	M061_IIA_2h_2A	M061_IIA_3h_1A	M061_IIA_3h_2A	M061_IIA_4h_1A	M061_IIA_4h_2A	M061_IIA_5h_1A	M061_IIA_5h_2A	M061_IIA_6h_1A	M061_IIA_6h_2A	M061_IIA_7h_1A	M062_IIA_0h_1A	M062_IIA_1h_2A	M062_IIA_2h_1A	M062_IIA_2h_2A	M062_IIA_3h_1A	M062_IIA_3h_2A	M062_IIA_48h_S	M062_IIA_4h_1A	M062_IIA_4h_2A	M062_IIA_5h_1A	M062_IIA_5h_2A	M062_IIA_6h_1A	M062_IIA_6h_2A	M062_IIA_7h_1A	M062_IIA_7h_2A	M063_IIC_0h_3A	M063_IIC_1h_1A	M063_IIC_1h_2A	M063_IIC_1h_3A	M063_IIC_2h_3A	M063_IIC_3h_3A	M063_IIC_4h_1A	M063_IIC_4h_2A	M063_IIC_4h_3A	M063_IIC_5h_1A	M063_IIC_5h_2A	M063_IIC_6h_1A	M063_IIC_6h_2A	M063_IIC_6h_3A	M063_IIC_7h_1A	M063_IIC_7h_2A	M063_IIC_7h_3A	M064_IIC_0h_1A	M064_IIC_0h_2A	M064_IIC_1h_1A	M064_IIC_1h_2A	M064_IIC_2h_1A	M064_IIC_2h_2A	M064_IIC_3h_1A	M064_IIC_3h_2A	M064_IIC_4h_1A	M064_IIC_4h_2A	M064_IIC_5h_1A	M064_IIC_5h_2A	M064_IIC_6h_1A	M064_IIC_6h_2A	M064_IIC_7h_2A
01_Bacteroidetes	Prevotella	2232300	#006400	15.9292798620095	0.0137959577843692	13.1146843627701	16.7667084751837	0.182759671032592	18.4947919213653	0.0191644308164048	0	0.0217170985956276	3.6592428789554	18.3852262700113	3.6281179138322	0.00750976269149895	0.0101827809174686	0.146466495789088	0.00435805804933322	0.0196222712779004	0.0243590524328604	1.24549010934325	0.149668590977122	1.17639787383081	1.50495419704618	0.0038985594822713	0.19678334910123	30.4223269568432	3.14673584863463	10.9323178970642	0.00278256998163504	0.00196506121165674	2.23859921316562	0.0111030922111808	0.0288674830593455	0	33.405934290549	0.00458120180193938	14.9956024626209	0.0144168388677976	31.5053939195816	22.5779694757797	0.951048951048951	0.00435047420168798	20.1842330762639	0.00479570305006714	0.0063335233390335	20.3966690853806	0.0090594070618078	0.00965390741902785	0	23.7283464566929	0.00473888730925979	0.00445612940599795	24.2783773241451	0.515463917525773	0.25201811380193	22.3309677922483	0.0673330916247993	0.0130924325739722	21.8576195773081	9.55776807256513	14.8818645694751	0.350701402805611	10.2565796427439	10.1574330008412	10.3170328881229	0.474828683969136	3.88085375272063	2.77750744496565	0.39114720007922	0.00754792935138127	0.0740544829410209	0	2.47787610619469	5.95998553694106	0.178630188501857	0	5.77605104168523	0.444839857651246	0	12.1817021370249	0	0.221298421956113	0.0134778155156612	0	27.1617880278472	0.017171066752522	0.106962766770234	0	0	15.4193124589446	0.00472210416961798	0.0189131257092422	0.0109409190371991	2.36996550333766	0.00573855158957879	0	1.55239327296248	5.02015025623165	0.00875541741452524	0	3.3815374578667	0.0158277936055714	1.17387565890314	0.294798905032638	12.764129203609	0	14.0048414713349	0.274895805622063	0.00443596681896819	2.45641838351822	0.00656167979002625	98.5844483226682	0.028312570781427	0.716358920521213	0.0108049702863317	0.0119789171058936	17.9226465580151	0.00320831595495524	0	3.47531363820316	1.77750299470613	14.0938384629284	14.4925165617077	1.5169194865811	0.603120492985446	0.0658400087786678	22.9812430456207	0.611132004512975	0.296276642787654	7.62174558208552	19.0268556139134	0	0.00808407437348424	16.8703919285991	14.2121673555217	1.66878287683657	21.1447148907045	0.0749375520399667	23.5851667358517	33.8162930563149	0.0134480903711673	4.29235796882856	27.6573787409701	18.6650124069479	0.218286451356849	17.7625552590705	0.184056484219419	18.2637369812922	0	0.115311340619673	0.0866250866250866	0.0775402872361945	0.00617588932806324	0	0.0170386777986028	0.00493291239147593	0	0
01_Bacteroidetes	Prevotellaceae_unclassified	354753	#009200	5.04527813712807	0.00689797889218459	4.69627360898418	2.88478767246013	0.350289369479135	3.87305002689618	0	0	0	0.479123887748118	2.01689146602798	0.891209196857037	0.0225292880744968	0	0	0	0.0049055678194751	0.0441507825345594	0.862581385383116	0.256574727389352	1.49573530017718	0.0093475415965601	0	0.0946073793755913	12.008132335274	0.0111824301657236	1.69758014985874	0	0	1.96339188415434	0	0.00607736485459905	0.00189922701460506	10.2568398478731	0	3.30255057167986	0	3.91467799934619	1.40179163901792	0	0	10.5998286203942	0.00479570305006714	0	12.5220275733389	0	0	0.00424124183560947	3.66535433070866	0	0.00445612940599795	4.16720842543232	0	0	4.97153552210871	0	0	3.04306372159542	5.99822862901994	8.9473063774608	1.18120857098813	10.0782158334214	6.95349116692705	10.5216860548614	0.147484666990413	6.94025135154111	0.624793195398719	0.173293063326237	1.29572787198712	0.166622586617297	0.017781290131384	0	0	0.00470079443425939	0	0	0	0	0	0.00324117589861602	0	0	0	0.669300862833643	0.0042927666881305	0	0	0	7.09437267352748	0	0	0	0.165763182653107	0	0	0.213735305697733	0.0796059505448032	0	0	0.010873110796999	0.118708452041785	0.523384051740252	0.0140380430967923	3.76518376752724	0	5.16029993505343	0	0	0	0	0	15.019818799547	0.0061755079355277	0.280929227444625	0	10.1386523960107	0	0.241994484776859	5.1699716713881	2.4344062753584	6.71565379750648	6.24846650854666	3.54725787631272	2.01477208163979	1.93130692417426	6.39405499920521	4.18860473862354	0.0132661183337755	2.27977876703089	4.21662867902091	0	0.00808407437348424	6.03414823438106	4.76397650641723	0.253945220388173	12.7475724002224	0	9.26387159263871	32.0120284308365	0	1.28833584715938	9.82327141382869	2.4317617866005	0.0297663342759339	2.66836592456888	0.00603463882686621	3.25182017042672	8.05590452261307	0	0	0	0	0	0	0	0	0
01_Bacteroidetes	Bacteroides	211514	#00C100	0.0172488141440276	0	0.00850774204526119	0.00447948396344741	0.00761498629302467	0	0	3.4374673492843	0	13.6681935449903	0.00630278583133745	0	0.00750976269149895	0	0	0	0.00981113563895021	0.0121795262164302	1.53439957976804	0.0021381227282446	0.00618072438089744	0.00560852495793606	0.0077971189645426	0.0132450331125828	0.0388134183532021	0.00447297206628945	0.014740203906154	0.00417385497245256	0.00196506121165674	0.00738811621506806	0.0222061844223616	0.00607736485459905	0.0113953620876303	0.00670162681991053	0.00763533633656563	0.0329815303430079	0	0	0	0	0	0.00428449014567267	0	0	0	0.534505016646661	0	0	0	0	0	0.00325055259394097	0	3.6345737349872	0	0	0	0.00397266804385826	0.0106893076382738	0.0117882824472474	0.0134885154925235	0.0118909206214988	0.00961422905900733	0.00897601608502082	0.0125901544991816	0.00877624096047181	0.0155711699787843	0.0841709164727435	0.0226437880541438	0.0158688177730759	0.00790279561394843	0.0062467464862051	0.0120525491141376	0.0235039721712969	0.0363174142001089	0.00712872698757819	0.0889679715302491	0.0648411392089381	0.00660254858375333	0.0129647035944641	0.00413641910198341	0.0296511941344547	0.103007828594973	0.00268795527242427	0.0042927666881305	0	0	0	0	0	0	0.00547045951859956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00486499635125274	0.224582116846867	0.0056277787157409	0.00505868069607446	0	0.00602300789014034	0	0	0	0	0	0.00940203083866115	0	14.5217860515311	0.00495491031612328	0	0.0161681487469685	0.0097012029491657	0	0.00604631477114699	0.00855541771827009	7.85595337218984	0.74719800747198	0	0	0	0	0	0	0	0	0	0	0	0	0	8.52272727272727	0	0	0	0	0
01_Bacteroidetes	Porphyromonas	168768	#2FD82F	0.163863734368262	0	0.0382848392036753	0.0179179358537896	0	0.180937943175705	0	0	0	2.07444848101932	0.283625362410185	0.226757369614512	0	0	0	0	0	0	1.25516650308953	1.02629890955741	0.449132638345214	0	0	0	0.606228629516681	0.00223648603314472	0.530647340621545	0.00139128499081752	0	0.0110821743226021	0.00555154610559041	0.00303868242729952	0	0.755608423944913	0	0.34740545294635	0	0.118502778685845	0.240544127405441	0	0	0.188517566409597	0	0	0.190041809198024	0	0	0	0.440944881889764	0	0	0.321804706800156	0	0	0.265148561179131	0	0	0.282059431113936	3.6832300033595	4.29430289149728	0.44319408046863	4.92548356410527	3.96346592957577	5.19352290679305	0.854331912444468	4.85501649933301	0.149872511045799	0	0	0.0687648770166623	0.195594191445224	0	0	2.04014478446858	0	0.381386893835433	0	0	0.93976274842089	0.00324117589861602	0	0	0	0.967663898072736	0	0	0	0	1.85679877381213	0	0	0.00547045951859956	0.0313606021235608	0	0	0.399347544856291	1.1692123986268	0	0.380499405469679	0.0761117755789932	0	0.512168679202961	7.21555415175125	1.29672304026872	0	0.997815433665939	0.505453578079276	0	0	0	0	0	0	0	0	0.218924835806373	0	0.0056277787157409	0	0	0.018069023670421	0.916005561462337	0	0	0	1.06501351136544	0	0	0.0269796303790638	0.0495491031612328	0	0	0.674233604967016	0.166775433253571	0.0604631477114699	0.692988835179878	0	1.12079701120797	0.00683433570256971	0	0.0314228255404726	1.01264189886481	0.312655086848635	0.0595326685518678	2.25815444661277	0	1.2243298834438	0	0.00501353654868144	0.00433125433125433	0	0	0	0	0	0	0
01_Bacteroidetes	Bacteroidales_unclassified	131705	#6FE66F	0.0258732212160414	0	0	0.0179179358537896	0	0.00489021468042447	0	0	0	0.142157637024167	0.0378167149880247	0.553709856035437	0	0	0	0	0	0	0	0.0064143681847338	0.00206024146029915	0	0	0	0.0258756122354681	0	0.00982680260410269	0	0	0.00554108716130105	0.00555154610559041	0	0	0.00670162681991053	0	0.00659630606860158	0	0.012258908139915	0.00414731254147313	0	0	0.137103684661525	0	0	0.100203863031685	0	0	0	0.00393700787401575	0	0	0.0260044207515278	0	0	0.0233954612805116	0	0	0.0238360082631495	0.018324527379898	0.0808339367811253	0	0.0819152309481027	0.0168249008532628	0.184905931351429	0	0.0228182264972267	0	0	0	0	0	0	0	0	0	0.00534654524068365	0	0	0.00440169905583555	0	0	0	0	1.41924038384001	0	0	0	0	0.27589227063718	0	0	0	0	0	0	0	0.124384297726255	0.0306439609508383	0	1.01119930412091	0.0949667616334283	0.0822460652734682	0	4.54634222552045	0.0322139002979786	5.98689260199563	0	0	0	0	0	2.66138165345413	0	0.0972447325769854	0	2.4811481391389	0.00320831595495524	0	6.77357345204371	1.61520924301557	0.00602300789014034	0.134947247894005	0.0116686114352392	0.013111315064901	0.0219466695928893	0.0357653791130186	0.0188040616773223	1.12319801892633	0.195602320248213	0.30224952928352	0	0	0.179472254559565	8.09223406569502	0.012092629542294	0.166830645506267	0.00416319733555371	0.145288501452885	0.0683433570256971	0	0	0.0193498452012384	0.143920595533499	0	0.131426978374288	0	0.0522380750269353	0.00785175879396985	0	0	0	0	0	0	0	0	0
01_Bacteroidetes	Alloprevotella	126987	#7AD883	0	0	0	0	0	0	0	0	0	0.0368556836729321	0.069330644144712	0.685545536043875	0	0	0	0	0	0	0	0	0	0	0.00194927974113565	0	0.0794750947232234	0	0	0	0	0	0	0	0	0.0653408614941277	0	0.0307827616534741	0	0	0.0787989382879894	0	0	0.0728363324764353	0	0	0.0725614180574272	0	0	0	0.0078740157480315	0	0	0.0227538681575868	0	0	0.0311939483740154	0	0	0.43302081678055	0.00152704394832483	0.20376888230242	0	0.0343515484621076	0	0.0233376418210541	0	0	0	0	0	0	0	0	0	0.803835848258356	0	0.664753791591666	0.0222419928825623	0	0.453375002751062	0	0	0	0	1.1746364540494	0	0	0	0	0.0700678782570615	0	0	0	0.00448008601765154	0	0.00529464711177	0.146239946003712	0.174138016816757	0	0.103051922314705	0.250081548330978	0	0	0	3.15978596258251	0	3.7728051012576	5.44471047264343	0.141950938206982	0	0	0	0	0.203791761872414	0.129659643435981	0	0	0	0	0.0910562525293403	0	0.072276094681684	0.327144843379406	0	0.069927013679472	0.219466695928893	0	0	0	0.00674490759476595	0	0	0	0	0	0.931132474756636	0	0	0	0.00683433570256971	0	0	0	3.30024813895782	0	1.03548528416106	0	0.959874628619935	0	0	0	0	0	0	0	0	0	0
01_Bacteroidetes	Capnocytophaga	82374	#4EAC6A	4.63130659767141	0	0.0425387102263059	0.223974198172371	0.00761498629302467	0.640618123135606	0	0	0	0.131627441689043	3.39720156309089	0.0052734272003375	0	0	0	0	0	0	0	0	0	0	0	0	0.711579336475372	0.00223648603314472	0.0761577201817958	0	0	0	0	0	0.00189922701460506	0.477490910918625	0	0.261653474054529	0	0.71101667211507	0.501824817518248	0	0	0.886889460154242	0	0	1.64127017034657	0	0	0	1.11417322834646	0	0	1.81380834741906	0	0	1.23216096077361	0	0	1.59701255363102	0.346638976269737	0.111146663074047	0	0.270848747489695	0.00961422905900733	0.31057015654172	0	0.0544126939549252	0	0	0	0	0	0	0	0	0	0.00891090873447274	0	0	0.11884587450756	0	0	0	0	0.860145687175765	0	0	0.00583907509050566	0	0.68316181300635	0	0	0	0	0	0	0.247482985544744	0.0447783471814518	0.00437770870726262	0.0554894966309949	0	0	0	0.631711939355654	2.64031558801703	35.1453652250946	2.40892720080298	0	0	0.0198098256735341	0	0	0	0	0	0	0.505959620530285	0	0	0.212464589235128	0	0.283081370836596	0.0817862108448516	0	0	0	3.99777459863297	0	0	0.897072710103871	1.00584679417303	0	0	3.12863795110594	0.00725110579363353	0	1.4030885057963	0	2.98187352981874	0	0	0	3.9796181630547	0.0248138957816377	0	0.00398263570831176	0	0	0.00785175879396985	0.0601624385841773	0	0	0	0	0	0	0.0062582139057513	0
01_Bacteroidetes	Porphyromonadaceae_unclassified	71289	#38955D	0	0	0	0	0	0.00489021468042447	0	0	0	0.0315905860053704	0	0	0	0	0	0	0	0.00913464466232264	0.00967639374628496	0.977122086807783	0.111253038856154	0.00747803327724808	0.77971189645426	0.00567644276253548	0.0406616763700213	0	0.00491340130205135	0.00417385497245256	0	0	0.0166546383167712	0.00303868242729952	0.00759690805842022	0.0519376078543066	0	0.0373790677220756	0	0	0	0	0	0.00428449014567267	0	0	0	0.0181188141236156	0	0	0.0078740157480315	0.0189555492370391	0	0.00650110518788194	0	0	0	0	0	0	0.0244327031731973	0.0774658560819117	0	0.109660712398267	0.0216320153827665	0.0789889415481833	0.00179859349988309	0.0473917011865478	0.00194639624734804	0	0.0100639058018417	0	0.00395139780697422	0	0.590574906592744	0.00940158886851878	2.37879063010714	9.07308727344015	8.47419928825623	12.3547309092723	4.45011774544974	14.6695621171361	3.36290872991251	0.010782252412529	0	0.00537591054484853	0	0.00509346508429685	0	0	0.0525509086927961	0	0	0	0	0	0	0	0	0	0.01585414189457	0	0	0.00747691502486074	0	0.0195289614498301	28.8193605540791	0.0767550333589184	0	0	0	0	0	0.240656851642129	0	0	0	0.0875699343225493	0.00641663190991049	0	0.0455281262646702	0	0.0662530867915437	0.114500695182792	0	0	0	0.0357653791130186	0	0.0840187494472451	3.804127883448	0	0	0.00808407437348424	0	0.398810818649844	0	0.0213885442956752	0	0	0	0	0	0.0193498452012384	0.00496277915632754	0	0.0278784499581823	0	0.035913676581018	0	0	0	0	0	0	0	0	0	0
01_Bacteroidetes	Flavobacteriaceae_unclassified	61524	#64C276	3.39801638637344	0	0.267993874425727	0.712237950188138	0	0	0	0	0	0.00526509766756173	3.08206227152401	0.137109107208775	0.187744067287474	0	0	0	0	0	0.393967459670173	0	0	0	0	0.00189214758751183	1.0904722299233	0.129716189922394	0.486426728903083	0	0	0.00738811621506806	0	0	0	0.618225074136747	0	0.305628847845207	0	0.67832625040863	0.717485069674851	0	0	0.904027420736932	0	0	1.36139041498221	0	0	0	0.732283464566929	0	0	1.04667793524899	0	0	0.99040786087499	0	0	1.16796440489433	0.151177350884158	0.639935332850575	0.00385386156929243	0.203466863967868	0	0.1723395088324	0	0.00526574457628309	0	0	0	0	0	0.00208224882873503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4554412086709	0	0	0	0	0	0	0	0.298522314543012	0	0	1.20691529846689	0	0.0112153725372911	0	0.816310588602898	0	1.05095353368365	0	0	0	0	0	0.410532276330691	0	0	0	0	0	0	0	0	0	0.568414165371718	0	0	0	1.70879033539978	0	0	1.72669634426008	0.525220493509068	0	0	0.465657741559953	0.464070770792546	0	0.363605253026479	0.0874271440466278	1.04469351044694	0	0	0.0439919557566616	0.993292053663571	0.372208436724566	0	0.553586363455335	0	0.470142675242417	0	0	0	0	0	0	0	0	0	0
01_Bacteroidetes	Alistipes	7750	#90EE90	0	0	0.00425387102263059	0	0	0	0	0	0	3.44863897225294	0	0.0052734272003375	0.00750976269149895	0	0	0	0	0	0	0	0	0.00186950831931202	0	0	0.00554477405045744	0	0	0.00139128499081752	0	0	0	0	0.00189922701460506	0	0	0.00219876868953386	0	0	0	0	0	0	0	0	0	0.00226485176545195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00192693078464622	0.00264242680477751	0	0.00179520321700416	0	0.00175524819209436	0.00389279249469607	0.00495123038074962	0.00251597645046042	0	0	0	0	0	0	0.00712872698757819	0	0.00997555987829817	0	0.00324117589861602	0	0.0188689417219257	0	0.00268795527242427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0545413712342391	0	0	0	0	0	0	0	0	0	19.7160586686724	0	1.40294077971132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
