OTU	Size	Taxonomy	taxname	phylum
Otu0001	5179263	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);	Otu0001_Streptococcus	Firmicutes
Otu0002	2029393	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);	Otu0002_Veillonella	Firmicutes
Otu0003	1199904	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Pasteurellaceae_unclassified(100);	Otu0003_Pasteurellaceae_unclassified	Proteobacteria
Otu0004	1157051	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100);	Otu0004_Prevotella	Bacteroidetes
Otu0005	1022756	Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Bacillales_Incertae_Sedis_XI(100);Gemella(100);	Otu0005_Gemella	Firmicutes
Otu0006	849865	Bacteria(100);Fusobacteria(100);Fusobacteriia(100);Fusobacteriales(100);Fusobacteriaceae(100);Fusobacterium(100);	Otu0006_Fusobacterium	Fusobacteria
Otu0007	548996	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);	Otu0007_Streptococcus	Firmicutes
Otu0008	543667	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Lactobacillales_unclassified(100);Lactobacillales_unclassified(100);	Otu0008_Lactobacillales_unclassified	Firmicutes
Otu0009	403315	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pasteurellales(100);Pasteurellaceae(100);Haemophilus(93);	Otu0009_Haemophilus	Proteobacteria
Otu0010	389524	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Actinomycetaceae(100);Actinomyces(100);	Otu0010_Actinomyces	Actinobacteria
Otu0011	349723	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotellaceae_unclassified(100);	Otu0011_Prevotellaceae_unclassified	Bacteroidetes
Otu0012	293249	Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Neisseriales(100);Neisseriaceae(100);Neisseria(100);	Otu0012_Neisseria	Proteobacteria
Otu0013	290307	Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Megasphaera(99);	Otu0013_Megasphaera	Firmicutes
Otu0014	262420	Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);	Otu0014_Streptococcus	Firmicutes
